session,order_id,side,price,queued_time_ms,initial_queue_ahead,total_trade_queue_drained,total_cancel_queue_drained,first_fill_time_ms,first_queue_ahead_before_trade,first_queue_ahead_before_fill,filled_quantity,final_status
2026-04-12 15:00,ord-000001,buy,70746.33,1776006000224,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000002,sell,70750.34,1776006000224,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000003,buy,70757.82,1776006005224,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000004,sell,70761.83,1776006005224,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000005,buy,70748.50,1776006038427,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000006,sell,70752.51,1776006038427,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000007,buy,70750.53,1776006043524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000008,sell,70754.54,1776006043524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000009,buy,70757.61,1776006048524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000010,sell,70761.62,1776006048524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000011,buy,70759.62,1776006074324,0.63147000,0,0.6314700000000000000000000000,,,,0,cancelled
2026-04-12 15:00,ord-000012,sell,70763.63,1776006074324,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000013,buy,70776.47,1776006079324,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000014,sell,70780.48,1776006079324,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000015,buy,70786.87,1776006084324,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000016,sell,70790.88,1776006084324,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000017,buy,70788.01,1776006094924,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000018,sell,70792.02,1776006094924,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000019,buy,70794.04,1776006099924,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000020,sell,70798.05,1776006099924,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000021,buy,70790.00,1776006106824,0.00088000,0.00088000,0,1776006106876,0.00088000,0.00000000,0.00008000,cancelled
2026-04-12 15:00,ord-000022,sell,70794.01,1776006106824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000023,buy,70763.02,1776006111824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000024,sell,70767.03,1776006111824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000025,buy,70772.79,1776006116824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000026,sell,70776.80,1776006116824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000027,buy,70768.87,1776006121824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000028,sell,70772.88,1776006121824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000029,buy,70761.02,1776006126824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000030,sell,70765.03,1776006126824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000031,buy,70768.60,1776006131824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000032,sell,70772.61,1776006131824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000033,buy,70775.80,1776006136824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000034,sell,70779.81,1776006136824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000035,buy,70781.15,1776006141824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000036,sell,70785.16,1776006141824,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000037,buy,70771.51,1776006152024,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000038,sell,70775.52,1776006152024,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000039,buy,70778.14,1776006157724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000040,sell,70782.15,1776006157724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000041,buy,70779.76,1776006162724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000042,sell,70783.77,1776006162724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000043,buy,70787.57,1776006167724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000044,sell,70791.58,1776006167724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000045,buy,70788.01,1776006172724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000046,sell,70792.02,1776006172724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000047,buy,70792.88,1776006177724,0.09741000,0,0.09741000000000000000000000000,,,,0,cancelled
2026-04-12 15:00,ord-000048,sell,70796.89,1776006177724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000049,buy,70787.57,1776006182724,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000050,sell,70791.58,1776006182724,0.00452000,0,0.00452000,,,,0,cancelled
2026-04-12 15:00,ord-000051,buy,70780.49,1776006187725,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000052,sell,70784.50,1776006187725,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000053,buy,70783.09,1776006193524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000054,sell,70787.10,1776006193524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000055,buy,70797.99,1776006198524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000056,sell,70802.00,1776006198524,0.00120000,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000057,buy,70799.45,1776006210524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000058,sell,70803.46,1776006210524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000059,buy,70803.35,1776006215524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000060,sell,70807.36,1776006215524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000061,buy,70813.98,1776006220524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000062,sell,70817.99,1776006220524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000063,buy,70818.84,1776006225524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000064,sell,70822.85,1776006225524,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000065,buy,70821.40,1776006230525,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000066,sell,70825.41,1776006230525,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000067,buy,70813.99,1776006235624,0,0,0,,,,0,cancelled
2026-04-12 15:00,ord-000068,sell,70818.00,1776006235624,0,0,0,,,,0,cancelled
