session,order_id,side,price,queued_time_ms,initial_queue_ahead,total_trade_queue_drained,total_cancel_queue_drained,first_fill_time_ms,first_queue_ahead_before_trade,first_queue_ahead_before_fill,filled_quantity,final_status
2026-04-19 13:00,ord-000001,buy,75569.60,1776603600224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000002,sell,75573.61,1776603600224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000003,buy,75550.44,1776603605224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000004,sell,75554.45,1776603605224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000005,buy,75569.60,1776603610224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000006,sell,75573.61,1776603610224,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000007,buy,75579.41,1776603622443,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000008,sell,75583.42,1776603622443,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000009,buy,75583.75,1776603627524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000010,sell,75587.76,1776603627524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000011,buy,75593.09,1776603632524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000012,sell,75597.10,1776603632524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000013,buy,75600.04,1776603637524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000014,sell,75604.05,1776603637524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000015,buy,75596.67,1776603642524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000016,sell,75600.68,1776603642524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000017,buy,75587.42,1776603647524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000018,sell,75591.43,1776603647524,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000019,buy,75582.55,1776603658124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000020,sell,75586.56,1776603658124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000021,buy,75579.16,1776603663124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000022,sell,75583.17,1776603663124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000023,buy,75591.15,1776603668124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000024,sell,75595.16,1776603668124,0,0,0,,,,0,cancelled
2026-04-19 13:00,ord-000025,buy,75594.98,1776603673124,0.04003000,0,0,,,,0,cancelled
